24.0,0.42,0.44,0.47,0.60,0.77,0.83,0.87
24.1,0.43,0.45,0.48,0.61,0.79,0.84,0.88
24.2,0.44,0.46,0.49,0.63,0.80,0.86,0.90
24.3,0.44,0.46,0.50,0.64,0.82,0.88,0.92
24.4,0.45,0.47,0.51,0.65,0.83,0.89,0.94
24.5,0.46,0.48,0.52,0.66,0.85,0.91,0.95
24.6,0.47,0.49,0.53,0.68,0.87,0.93,0.97
25.0,0.48,0.50,0.54,0.69,0.88,0.95,0.99
25.1,0.49,0.51,0.55,0.70,0.90,0.96,1.01
25.2,0.50,0.52,0.56,0.71,0.92,0.98,1.03
25.3,0.51,0.53,0.57,0.73,0.93,1.00,1.05
25.4,0.52,0.54,0.58,0.74,0.95,1.02,1.07
25.5,0.53,0.55,0.59,0.76,0.97,1.04,1.09
25.6,0.54,0.56,0.60,0.77,0.99,1.06,1.11
26.0,0.55,0.57,0.61,0.78,1.01,1.08,1.13
26.1,0.56,0.58,0.62,0.80,1.02,1.10,1.15
26.2,0.57,0.59,0.64,0.81,1.04,1.12,1.17
26.3,0.58,0.60,0.65,0.83,1.06,1.14,1.19
26.4,0.59,0.62,0.66,0.85,1.08,1.16,1.22
26.5,0.60,0.63,0.67,0.86,1.10,1.18,1.24
26.6,0.61,0.64,0.68,0.88,1.12,1.20,1.26
27.0,0.62,0.65,0.70,0.89,1.14,1.23,1.28
27.1,0.63,0.66,0.71,0.91,1.16,1.25,1.31
27.2,0.64,0.67,0.72,0.93,1.19,1.27,1.33
27.3,0.66,0.69,0.74,0.94,1.21,1.30,1.36
27.4,0.67,0.70,0.75,0.96,1.23,1.32,1.38
27.5,0.68,0.71,0.76,0.98,1.25,1.34,1.41
27.6,0.69,0.72,0.78,1.00,1.27,1.37,1.43
28.0,0.70,0.74,0.79,1.01,1.30,1.39,1.46
28.1,0.72,0.75,0.81,1.03,1.32,1.42,1.48
28.2,0.73,0.76,0.82,1.05,1.34,1.44,1.51
28.3,0.74,0.78,0.83,1.07,1.37,1.47,1.54
28.4,0.76,0.79,0.85,1.09,1.39,1.49,1.56
28.5,0.77,0.81,0.86,1.11,1.42,1.52,1.59
28.6,0.78,0.82,0.88,1.13,1.44,1.55,1.62
29.0,0.80,0.83,0.90,1.15,1.47,1.58,1.65
29.1,0.81,0.85,0.91,1.17,1.50,1.60,1.68
29.2,0.83,0.86,0.93,1.19,1.52,1.63,1.71
29.3,0.84,0.88,0.94,1.21,1.55,1.66,1.74
29.4,0.86,0.90,0.96,1.23,1.58,1.69,1.77
29.5,0.87,0.91,0.98,1.25,1.60,1.72,1.80
29.6,0.89,0.93,0.99,1.27,1.63,1.75,1.83
30.0,0.90,0.94,1.01,1.30,1.66,1.78,1.86
30.1,0.92,0.96,1.03,1.32,1.69,1.81,1.90
30.2,0.93,0.98,1.05,1.34,1.72,1.84,1.93
30.3,0.95,0.99,1.07,1.36,1.75,1.88,1.96
30.4,0.97,1.01,1.08,1.39,1.78,1.91,2.00
30.5,0.98,1.03,1.10,1.41,1.81,1.94,2.03
30.6,1.00,1.05,1.12,1.44,1.84,1.97,2.07
31.0,1.02,1.06,1.14,1.46,1.87,2.01,2.10
31.1,1.03,1.08,1.16,1.49,1.90,2.04,2.14
31.2,1.05,1.10,1.18,1.51,1.94,2.08,2.17
31.3,1.07,1.12,1.20,1.54,1.97,2.11,2.21
31.4,1.09,1.14,1.22,1.56,2.00,2.15,2.25
31.5,1.11,1.16,1.24,1.59,2.04,2.19,2.29
31.6,1.12,1.18,1.26,1.62,2.07,2.22,2.33
32.0,1.14,1.20,1.28,1.64,2.11,2.26,2.37
32.1,1.16,1.22,1.31,1.67,2.14,2.30,2.40
32.2,1.18,1.24,1.33,1.70,2.18,2.34,2.45
32.3,1.20,1.26,1.35,1.73,2.21,2.38,2.49
32.4,1.22,1.28,1.37,1.76,2.25,2.42,2.53
32.5,1.24,1.30,1.40,1.79,2.29,2.46,2.57
32.6,1.26,1.32,1.42,1.82,2.33,2.50,2.61
